image_name,augmented,real_angle
00001.jpg,False,136.0976
00002.jpg,False,134.69548010471203
00003.jpg,False,133.2933602094241
00004.jpg,False,131.89124031413613
00005.jpg,False,130.48912041884816
00006.jpg,False,129.08700052356022
00007.jpg,False,127.68488062827225
00008.jpg,False,126.2827607329843
00009.jpg,False,124.88064083769633
00010.jpg,False,123.47852094240838
00011.jpg,False,122.07640104712041
00012.jpg,False,120.67428115183246
00013.jpg,False,119.2721612565445
00014.jpg,False,117.87004136125654
00015.jpg,False,116.46792146596859
00016.jpg,False,115.06580157068063
00017.jpg,False,113.66368167539267
00018.jpg,False,112.26156178010471
00019.jpg,False,110.85944188481676
00020.jpg,False,109.4573219895288
00021.jpg,False,108.05520209424084
00022.jpg,False,106.65308219895289
00023.jpg,False,105.25096230366492
00024.jpg,False,103.84884240837697
00025.jpg,False,102.44672251308901
00026.jpg,False,101.04460261780105
00027.jpg,False,99.6424827225131
00028.jpg,False,98.24036282722514
00029.jpg,False,96.83824293193717
00030.jpg,False,95.43612303664922
00031.jpg,False,94.03400314136127
00032.jpg,False,92.6318832460733
00033.jpg,False,91.22976335078535
00034.jpg,False,89.8276434554974
00035.jpg,False,88.42552356020943
00036.jpg,False,87.02340366492147
00037.jpg,False,85.62128376963352
00038.jpg,False,84.21916387434555
00039.jpg,False,82.8170439790576
00040.jpg,False,81.41492408376965
00041.jpg,False,80.01280418848168
00042.jpg,False,78.61068429319373
00043.jpg,False,77.20856439790577
00044.jpg,False,75.80644450261781
00045.jpg,False,74.40432460732985
00046.jpg,False,73.0022047120419
00047.jpg,False,71.60008481675393
00048.jpg,False,70.19796492146598
00049.jpg,False,68.79584502617803
00050.jpg,False,67.39372513089006
00051.jpg,False,65.99160523560211
00052.jpg,False,64.58948534031414
00053.jpg,False,63.18736544502619
00054.jpg,False,61.785245549738235
00055.jpg,False,60.38312565445027
00056.jpg,False,58.981005759162315
00057.jpg,False,57.57888586387436
00058.jpg,False,56.176765968586395
00059.jpg,False,54.77464607329844
00060.jpg,False,53.37252617801049
00061.jpg,False,51.97040628272252
00062.jpg,False,50.56828638743457
00063.jpg,False,49.166166492146615
00064.jpg,False,47.76404659685865
00065.jpg,False,46.361926701570695
00066.jpg,False,44.95980680628274
00067.jpg,False,43.557686910994775
00068.jpg,False,42.15556701570682
00069.jpg,False,40.75344712041887
00070.jpg,False,39.3513272251309
00071.jpg,False,37.94920732984295
00072.jpg,False,36.547087434554996
00073.jpg,False,35.14496753926703
00074.jpg,False,33.742847643979076
00075.jpg,False,32.34072774869112
00076.jpg,False,30.938607853403155
00077.jpg,False,29.536487958115202
00078.jpg,False,28.13436806282725
00079.jpg,False,26.732248167539282
00080.jpg,False,25.33012827225133
00081.jpg,False,23.928008376963362
00082.jpg,False,22.52588848167541
00083.jpg,False,21.123768586387456
00084.jpg,False,19.72164869109949
00085.jpg,False,18.319528795811536
00086.jpg,False,16.917408900523583
00087.jpg,False,15.515289005235616
00088.jpg,False,14.113169109947663
00089.jpg,False,12.71104921465971
00090.jpg,False,11.308929319371742
00091.jpg,False,9.90680942408379
00092.jpg,False,8.504689528795836
00093.jpg,False,7.102569633507869
00094.jpg,False,5.70044973821993
00095.jpg,False,4.298329842931963
00096.jpg,False,2.896209947643996
00097.jpg,False,1.4940900523560572
00098.jpg,False,0.09197015706808997
00099.jpg,False,-1.3101497382198772
00100.jpg,False,-2.7122696335078444
00101.jpg,False,-4.114389528795783
00102.jpg,False,-5.5165094240837504
00103.jpg,False,-6.918629319371718
00104.jpg,False,-8.320749214659656
00105.jpg,False,-9.722869109947624
00106.jpg,False,-11.12498900523559
00107.jpg,False,-12.52710890052353
00108.jpg,False,-13.929228795811497
00109.jpg,False,-15.331348691099464
00110.jpg,False,-16.733468586387403
00111.jpg,False,-18.13558848167537
00112.jpg,False,-19.537708376963337
00113.jpg,False,-20.939828272251276
00114.jpg,False,-22.341948167539243
00115.jpg,False,-23.74406806282721
00116.jpg,False,-25.14618795811515
00117.jpg,False,-26.548307853403116
00118.jpg,False,-27.950427748691084
00119.jpg,False,-29.352547643979022
00120.jpg,False,-30.75466753926699
00121.jpg,False,-32.15678743455496
00122.jpg,False,-33.558907329842896
00123.jpg,False,-34.96102722513086
00124.jpg,False,-36.36314712041883
00125.jpg,False,-37.76526701570677
00126.jpg,False,-39.167386910994736
00127.jpg,False,-40.5695068062827
00128.jpg,False,-41.97162670157064
00129.jpg,False,-43.37374659685861
00130.jpg,False,-44.77586649214658
00131.jpg,False,-46.177986387434515
00132.jpg,False,-47.58010628272248
00133.jpg,False,-48.98222617801045
00134.jpg,False,-50.38434607329839
00135.jpg,False,-51.786465968586356
00136.jpg,False,-53.18858586387432
00137.jpg,False,-54.59070575916226
00138.jpg,False,-55.99282565445023
00139.jpg,False,-57.394945549738196
00140.jpg,False,-58.797065445026135
00141.jpg,False,-60.1991853403141
00142.jpg,False,-61.60130523560207
00143.jpg,False,-63.00342513089001
00144.jpg,False,-64.40554502617798
00145.jpg,False,-65.80766492146594
00146.jpg,False,-67.20978481675388
00147.jpg,False,-68.61190471204185
00148.jpg,False,-70.01402460732982
00149.jpg,False,-71.41614450261775
00150.jpg,False,-72.81826439790572
00151.jpg,False,-74.22038429319369
00152.jpg,False,-75.62250418848163
00153.jpg,False,-77.0246240837696
00154.jpg,False,-78.42674397905756
00155.jpg,False,-79.8288638743455
00156.jpg,False,-81.23098376963347
00157.jpg,False,-82.63310366492144
00158.jpg,False,-84.03522356020937
00159.jpg,False,-85.43734345549734
00160.jpg,False,-86.83946335078531
00161.jpg,False,-88.24158324607328
00162.jpg,False,-89.64370314136121
00163.jpg,False,-91.04582303664918
00164.jpg,False,-92.44794293193715
00165.jpg,False,-93.85006282722509
00166.jpg,False,-95.25218272251306
00167.jpg,False,-96.65430261780102
00168.jpg,False,-98.05642251308896
00169.jpg,False,-99.45854240837693
00170.jpg,False,-100.8606623036649
00171.jpg,False,-102.26278219895283
00172.jpg,False,-103.6649020942408
00173.jpg,False,-105.06702198952877
00174.jpg,False,-106.46914188481671
00175.jpg,False,-107.87126178010467
00176.jpg,False,-109.27338167539264
00177.jpg,False,-110.67550157068058
00178.jpg,False,-112.07762146596855
00179.jpg,False,-113.47974136125652
00180.jpg,False,-114.88186125654445
00181.jpg,False,-116.28398115183242
00182.jpg,False,-117.68610104712039
00183.jpg,False,-119.08822094240833
00184.jpg,False,-120.4903408376963
00185.jpg,False,-121.89246073298426
00186.jpg,False,-123.29458062827223
00187.jpg,False,-124.69670052356014
00188.jpg,False,-126.0988204188481
00189.jpg,False,-127.50094031413607
00190.jpg,False,-128.90306020942404
00191.jpg,False,-130.305180104712
00192.jpg,False,-131.7073
